##a: 2
##id: vfli
##1: 
5.81407628204986,8.28319045648716,4.6970939506247,26.3554355250467,17.0724352164554,7.5906836693158,16.7281682748598,8.32819136425948,7.4475387831777,6.98166307955375,6.90862275848241,11.9402616979216,12.4444589907729,22.5296486781843,23.8709573656697,23.4375025650555,19.8312249167931,33.802818357982,17.7631590853462,24.1340757440456,26.5526531495356,27.4537624347993,24.7209882528585,19.5973170624765,16.1616171361426,24.090174368125,18.8424631612406,23.302028364018,28.1083969771704,25.8675480831988,29.1520245976215,30.3878204854436,27.0106266231361,22.4424828533275,22.8462417553045,20.8917930194849,20.7975755127402,18.4700217119089,18.6769799276672,10.8736870857471,9.22534818585366,7.96556090304834,6.35150728778872,7.1297886294186,5.90402005546502,5.05101962689696,4.29342363628927,5.54438485815156,6.99688495554511,4.20251661216482,2.27200227892008,3.4150334477625,3.16930188840055,2.01699224310383,2.89883787761738,4.9898311584953,7.51346024627675,4.31431325695011,3.24056932930569,3.52301932741447,2.52663500084706,3.49505757399448,10.1772313546166
1.45797598627791,1.07072414764724,1.19877334820186,1.23966942148753,1.27891156462591,1.58516926383662,3.0150753768844,2.77278562259309,4.27179615288537,5.46238620028745,5.83825533848251,4.29276668813051,3.27227824655283,6.17776006377038,11.0548048048048,9.14314686496535,5.74481263549085,6.5016839947284,7.63096383885606,11.2544711292795,13.5492019749684,10.3347153402771,6.13142700027493,3.21243523316065,4.30053547523429,3.54564415209365,1.89804772234276,3.6645632175169,4.07774110744413,4.82700303008944,5.39795643990325,4.23496396453849,3.02881967814969,2.95165696638559,2.60744159215453,2.80541968853662,2.93120419993441,2.33768993730735,1.55227909874364,2.18802719697358,3.37685727149929,2.82617111885407,1.58603162650601,2.27009497336115,2.67723669309172,3.3927468454955,3.22594410070404,2.85267248150138,3.839100296651,-0.355546266299747,1.6400434423899,3.156841568622,2.06933726526067,1.46483265562717,1.62222297740817,0.118627135552451,1.26158320570536,2.13011000365961,2.44258329692817,1.81221007526021,1.23358439630629,4.69785886363742,8.00279982052121
##2: 
13.9432,9.2788,27.0106,-0.1776,0.7233
3.7648,2.7846,2.8262,0.0737,0.7766
##3: None
##4: 
1,0.0055,1,0.43,0.9195
0.0014,0.0006,0.0016,0.4067,0.9235
0.0052,0.001,0.0098,0.3964,0.8389
0.003,0.0022,0.0132,0.4155,0.4896
0.0023,0.0015,0.0012,0.4057,0.5773
0.1799,0.2677,0.0115,0.9668,0.4172
0.0075,0.0127,0.0011,0.4412,0.4752
0.0028,0.0009,0.0018,0.4033,0.8018
0.001,0.0009,0.0007,0.415,0.5969
0.0637,0.1892,0.0015,0.5932,0.4412
0.001,0.0004,0.0008,0.4066,1
0.0023,0.001,0.0013,0.4026,0.8517
0.0016,0.0005,0.0013,0.4033,0.9476
0.0543,0.1083,0.0011,0.3188,0.4251
0.0048,0.0024,0.0019,0.4006,0.7176
0.0017,0.0008,0.0012,0.4033,0.8146
0.0019,0.0021,0.004,0.4115,0.5078
0.0022,0.002,0.0075,0.406,0.7834
0.0031,0.0006,0.0029,0.4036,0.7754
0.0272,0.0545,0.0013,0.353,0.4348
0.0017,0.0017,0.0079,0.405,0.7752
0.002,0.0008,0.0013,0.4032,0.8265
0.0016,0.0007,0.001,0.4367,0.8436
0.0871,0.1386,0.0119,0.2122,0.4062
0.0012,0.0008,0.001,0.4057,0.7387
0.1136,0.4493,0.1387,0.0541,0.4509
0.1407,0.1957,0.0024,0,0.5376
0.0031,0.0019,0.0018,0.4036,0.5539
0.0007,0.0005,0.0006,0.4045,0.9922
0.0036,0.001,0.0025,0.4006,0.7609
0.0045,0.0009,0.0015,0.3981,0.7901
0.0019,0.0018,0.0074,0.4075,0.7133
0.0018,0.0008,0.0011,0.4029,0.8469
0.0083,0.0103,0.0078,0.3917,0.4619
0.0011,0.0006,0.0008,0.4038,0.9515
0.0204,0.03,0.0015,0.451,0.5397
0.0024,0.0018,0.0052,0.4063,0.6765
0.0026,0.0017,0.0011,0.4037,0.762
0.0028,0.0018,0.0048,0.4048,0.6768
0.3393,1,0.002,0.1582,0.4419
0.0018,0.0021,0.0012,0.4116,0.5422
0.007,0.0027,0.0135,0.3949,0.7929
0.0016,0.0007,0.0017,0.4166,0.6413
0.0018,0.001,0.0012,0.407,0.8382
0.0056,0.0039,0.0012,0.4058,0.7394
0.0026,0.0014,0.0014,0.4021,0.6608
0.0011,0.0004,0.0009,0.408,0.9777
0.0002,0.0004,0.0006,0.418,0.7182
0.0017,0.0009,0.0012,0.4036,0.827
0.0024,0.0014,0.001,0.4066,0.6167
0.0013,0.0005,0.001,0.403,0.9325
0.0017,0.0012,0.0075,0.4059,0.721
0.0021,0.0017,0.0064,0.4053,0.6163
0.0022,0.001,0.0012,0.4033,0.8453
0.0052,0.0038,0.0021,0.405,0.7334
0.0043,0.0022,0.0159,0.3989,0.68
0.0024,0.0006,0.0022,0.4053,0.7345
