##a:7 ##id: vfli
##1: 0,0
21,-17
20,-16
19,-15
18,-14
17,-13
16,-12
15,-11
14,-10
13,-9
12,-8
11,-7
10,-6
9,-5
8,-4
7,-3
6,-2
5,-1
4,0
3,-10
2,-9
1,-8
0,-7
21,-15
20,-14
19,-13
18,-12
17,-11
16,-10
15,-9
14,-8
13,-7
12,-6
11,-5
10,-4
9,-3
8,-2
7,-1
6,0
5,-10
4,-9
3,-8
2,-7
1,-6
0,-5
21,-6
20,-5
19,-4
18,-3
17,-2
16,-1
15,0
14,-10
13,-9
12,-8
11,-7
10,-6
9,-5
8,-4
7,-3
6,-2
5,-1
4,0
3,-10
2,-9
1,-8
0,-7
21,-11
20,-10
19,-9
18,-8
17,-7
16,-6
15,-5
14,-4
13,-3
12,-2
11,-1
10,0
9,-10
8,-9
7,-8
6,-7
5,-6
4,-5
3,-4
2,-3
1,-2
0,-1
21,-4
20,-3
19,-2
18,-1
17,0
16,-10
15,-9
14,-8
13,-7
12,-6
11,-5
10,-4
9,-3
8,-2
7,-1
6,0
5,-10
4,-9
3,-8
2,-7
1,-6
0,-5
21,-7
20,-6
19,-5
18,-4
17,-3
16,-2
15,-1
14,0
13,-10
12,-9
11,-8
10,-7
9,-6
8,-5
7,-4
6,-3
5,-2
4,-1
3,0
2,-10
1,-9
0,-8
21,-7
20,-6
19,-5
18,-4
17,-3
16,-2
15,-1
14,0
13,-10
12,-9
11,-8
10,-7
9,-6
8,-5
7,-4
6,-3
5,-2
4,-1
3,0
2,-10
1,-9
0,-8
21,-15
20,-14
19,-13
18,-12
17,-11
16,-10
15,-9
14,-8
13,-7
12,-6
11,-5
10,-4
9,-3
8,-2
7,-1
6,0
5,-10
4,-9
3,-8
2,-7
1,-6
0,-5
21,-4
20,-3
19,-2
18,-1
17,0
16,-10
15,-9
14,-8
13,-7
12,-6
11,-5
10,-4
9,-3
8,-2
7,-1
6,0
5,-10
4,-9
3,-8
2,-7
1,-6
0,-5
21,-3
20,-2
19,-1
18,0
17,-10
16,-9
15,-8
14,-7
13,-6
12,-5
11,-4
10,-3
9,-2
8,-1
7,0
6,-10
5,-9
4,-8
3,-7
2,-6
1,-5
0,-4
21,-4
20,-3
19,-2
18,-1
17,0
16,-10
15,-9
14,-8
13,-7
12,-6
11,-5
10,-4
9,-3
8,-2
7,-1
6,0
5,-10
4,-9
3,-8
2,-7
1,-6
0,-5
21,-5
20,-4
19,-3
18,-2
17,-1
16,0
15,-10
14,-9
13,-8
12,-7
11,-6
10,-5
9,-4
8,-3
7,-2
6,-1
5,0
4,-10
3,-9
2,-8
1,-7
0,-6
21,-7
20,-6
19,-5
18,-4
17,-3
16,-2
15,-1
14,0
13,-10
12,-9
11,-8
10,-7
9,-6
8,-5
7,-4
6,-3
5,-2
4,-1
3,0
2,-10
1,-9
0,-8
21,-7
20,-6
19,-5
18,-4
17,-3
16,-2
15,-1
14,0
13,-10
12,-9
11,-8
10,-7
9,-6
8,-5
7,-4
6,-3
5,-2
4,-1
3,0
2,-10
1,-9
0,-8
21,-12
20,-11
19,-10
18,-9
17,-8
16,-7
15,-6
14,-5
13,-4
12,-3
11,-2
10,-1
9,0
8,-10
7,-9
6,-8
